Honorific,Salutation,Post Nominals,Surname,Image ,First Name,Preferred Name,Email,Facebook,Twitter,Other,Electorate,State,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Parliamental and Ministerial Titles
Hon,Mr,MP,Albanese,/images/mps/10007.jpg,Anthony,Anthony,A.Albanese.MP@aph.gov.au,,http://twitter.com/AlboMP,,Grayndler,NSW,(02) 6277 4022,(02) 6277 8562,334A Marrickville Road,,Marrickville,NSW,2204,(02) 9564 3588,(02) 9564 1734,PO Box 5100,Marrickville,NSW,2204,Leader of the Opposition
Mr,Mr,OAM MP,Alexander,/images/mps/10725.jpg,John,John,,http://www.facebook.com/profile.php?id=100001834307725,http://twitter.com/JohnAlexanderMP,/Senators_and_Members/Contact_Senator_or_Member?MPID=M3M,Bennelong,NSW,(02) 6277 4804,(02) 6277 8581,32 Beecroft Road,,Epping,NSW,2121,(02) 9869 4288,(02) 9869 4833,PO Box 872,Epping,NSW,2121,Ê
Dr,Dr,MP,Allen,/images/mps/10928.jpg,Katrina,Katie,Katie.Allen.MP@aph.gov.au,,,,Higgins,VIC,(02) 6277 4100,(02) 6277 8408,1/1343 Malvern Road,,Malvern,VIC,3144,(03) 9822 4422,,1/1343 Malvern Road,Malvern,VIC,3144,Ê
Dr,Dr,MP,Aly,/images/mps/10863.jpg,Anne,Anne,,,,,Cowan,WA,(02) 6277 4876,(02) 6277 8526,"Level 40, Exchange Tower",2 The Esplanade,Perth,WA,6000,(08) 9409 4517,(08) 9409 9361,PO Box 219,Kingsway,WA,6065,Ê
Hon,Mrs,MP,Andrews,/images/mps/10745.jpg,Karen,Karen,Karen.Andrews.MP@aph.gov.au,http://www.facebook.com/pages/Karen-Andrews-MP/150255771679533?ref=ts,http://twitter.com/karenandrewsmp,,McPherson,QLD,(02) 6277 7070,,Ground Floor The Point 47 Watts Drive,,Varsity Lakes,QLD,4227,(07) 5580 9111,(07) 5580 9700,PO Box 409,Varsity Lakes,QLD,4227,Minister for Industry
Hon,Mr,MP,Andrews,/images/mps/10014.jpg,Kevin,Kevin,menzies@aph.gov.au,http://www.facebook.com/kevinandrewsmp,http://twitter.com/kevinandrewsmp,,Menzies,VIC,(02) 6277 4023,(02) 6277 4074,1st Floor 651-653 Doncaster Road,,Doncaster,VIC,3108,(03) 9848 9900,(03) 9848 2741,PO Box 124,Doncaster,VIC,3108,Ê
Mrs,Mrs,MP,Archer,/images/mps/10917.jpg,Bridget,Bridget,Bridget.Archer.MP@aph.gov.au,,,,Bass,TAS,(02) 6277 4464,(02) 6277 8475,100 St John Street ,,Launceston,TAS,7250,(03) 6334 7033,(03) 6334 7055,PO Box 5035,Launceston,TAS,7250,Ê
Mr,Mr,MP,Bandt,/images/mps/10734.jpg,Adam,,Adam.Bandt.MP@aph.gov.au,http://www.facebook.com/Adam.Bandt.MP,http://twitter.com/adambandt,,Melbourne,VIC,(02) 6277 4775,(02) 6277 8583,296 Brunswick Street,,Fitzroy,VIC,3065,(03) 9417 0759,,296 Brunswick Street,Fitzroy,VIC,3065,Ê
Ms,Ms,MP,Bell,/images/mps/10936.jpg,Angie,Angie,,,,,Moncrieff,QLD,(02) 6277 4390,(02) 6277 8409,65-67 Thomas Drive,,Chevron Island ,QLD,4217,(07) 5504 6000,,PO Box 4922,Gold Coast MC,QLD,9726,Ê
Hon,Ms,MP,Bird,/images/mps/10043.jpg,Sharon,Sharon,Sharon.Bird.MP@aph.gov.au,http://www.facebook.com/sharon.bird.mp,http://twitter.com/SharonBirdMP,,Cunningham,NSW,(02) 6277 4244,(02) 6277 4260,74 Crown Street,,Wollongong,NSW,2500,(02) 4228 5899,(02) 4228 5077,PO Box 387,Wollongong,NSW,2520,Ê
