Title,Image,Surname,First Name,Preferred Name,Email,Facebook,Twitter,Other,State,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Label Address,Label Suburb,Label State,Label postcode,Parliamentary Titles
Senator the Hon,10003.jpg,Abetz,Eric,Eric,,http://www.facebook.com/SenatorAbetz,,,TAS,Highbury House,136 Davey Street,Hobart,TAS,7000,(03) 6224 3707,(03) 6224 3709,1300 132 493,GPO Box 1675,Hobart,TAS,7001,
Senator,10954.jpg,Antic,Alexander,Alex,senator.antic@aph.gov.au,,,,SA,"Commonwealth Parliament Offices, Suite 8","Level 12, 100 King William Street",Adelaide,SA,5000,(08) 8205 1080,,,"Commonwealth Parliament Offices, Suite 8, Level 12, 100 King William Street",Adelaide,SA,5000,
Senator,10914.jpg,Askew,Wendy,Wendy,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=281558,TAS,46 Cameron Street,,Launceston,TAS,7250,(03) 6331 8501,,1300 134 468,PO Box 97,Launceston,TAS,7250,
Senator,10946.jpg,Ayres,Timothy,Tim,senator.ayres@aph.gov.au,,,,NSW,"Suite 5, Level 22",56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9330,,,PO Box R1740,Royal Exchange,NSW,1225,
Senator,10705.jpg,Bilyk,Catryna,Catryna,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=HZB,TAS,"Suite 3, Kingston Plaza",20 Channel Highway,Kingston,TAS,7050,(03) 6229 4444,(03) 6229 4100,1300 855 225,PO Box 320,Kingston,TAS,7051,
Senator the Hon,10044.jpg,Birmingham,Simon,Simon,,https://facebook.com/simonbirmingham,,,SA,107 Sir Donald Bradman Drive,,Hilton,SA,5033,(08) 8354 1644,(08) 8354 1655,1300 301 638,107 Sir Donald Bradman Drive,Hilton,SA,5033," Minister for Trade, Tourism and Investment (Deputy Leader of the Government in the Senate)"
Senator,10945.jpg,Bragg,Andrew,Andrew,senator.bragg@aph.gov.au,,,,NSW,"Suite 23.03, Level 23",56 Pitt  Street,Sydney,NSW,2000,(02) 9159 9320,,,GPO Box 5411,Sydney,NSW,2001,
Senator,10900.jpg,Brockman,William,Slade,senator.brockman@aph.gov.au,,,,WA,"Unit 4, ",1 Harper Terrace,South Perth,WA,6151,(08) 6245 3305,,,"Unit 4, 1 Harper Terrace ",South Perth,WA,6151,Deputy Government Whip in the Senate
Senator,10071.jpg,Brown,Carol,Carol,senator.carol.brown@aph.gov.au,,,,TAS,"AMP Building, Ground Floor",27 Elizabeth Street,Hobart,TAS,7001,(03) 6231 0099,(03) 6231 3009,1300 030 532,GPO Box 376,Hobart,TAS,7001,
Senator the Hon,10827.jpg,Canavan,Matthew,Matthew,senator.canavan@aph.gov.au,,,,QLD,Ground Floor,34 East Street,Rockhampton,QLD,4700,(07) 4927 2003,(07) 4927 2004,1300 030 887,PO Box 737,Rockhampton,QLD,4700,(Deputy Leader of the Nationals in the Senate) 
Senator the Hon,10103.jpg,Carr,Kim,Kim,senator.carr@aph.gov.au,,,,VIC,62 Lygon Street,,Carlton South,VIC,3053,(03) 9639 2798,(03) 9639 3109,,62 Lygon Street,Carlton South,VIC,3053,
Senator the Hon,10707.jpg,Cash,Michaelia,Michaelia,senator.cash@aph.gov.au,,,,WA,44 Outram Street,,West Perth,WA,6005,(08) 9226 2000,(08) 9226 2211,,PO Box 1966,West Perth,WA,6872,"Minister for Employment, Skills, Small and Family Business"
Senator,10955.jpg,Chandler,Claire,Claire,senator.chandler@aph.gov.au,,,,TAS,42 Bridge Street,,Richmond,TAS,7025,(03) 6260 2018,,,PO Box 250,Richmond,TAS,7025,
Senator,10849.jpg,Chisholm,Anthony,Anthony,senator.chisholm@aph.gov.au,,,,QLD,Crossroads,454 Gympie Road,Strathpine,QLD,4500,(07) 3881 3710,,,PO Box 2246,Strathpine,QLD,4500,
Senator,10915.jpg,Ciccone,Raffaele,Raff,,https://www.facebook.com/SenRaffCiccone/,,,VIC,1A Blackburn Road,,Blackburn,VIC,3130,(03) 9894 2098,,,1A Blackburn Road,Blackburn,VIC,3130,Deputy Opposition Whip in the Senate
Senator the Hon,10131.jpg,Colbeck,Richard,Richard,senator.colbeck@aph.gov.au,,,,TAS,5-7 Best Street,,Devonport,TAS,7310,(03) 6424 5960,(03) 6423 5244,,PO Box 603,Devonport,TAS,7310,Minister for Aged Care and Senior Australians Minister for Youth and Sport
Senator the Hon,10148.jpg,Cormann,Mathias,Mathias,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=HDA,WA,"Level 38, Exchange Plaza",2 The Esplanade,Perth,WA,6000,(08) 9325 4227,(08) 9325 6857,1300 030 728,GPO Box B58,Perth,WA,6838,Minister for Finance (Vice President of the Executive Council and Leader of the Government in the Senate)
Senator,10947.jpg,Davey,Perin,Perin,senator.davey@aph.gov.au,,,,NSW,217 Cressy Street,,Deniliquin,NSW,2710,(02) 9159 9310,,1300 301 816,PO Box 612,Deniliquin,NSW,2710,Nationals Whip in the Senate
Senator,10846.jpg,Dodson,Patrick,Patrick,senator.dodson@aph.gov.au,,,,WA,Unit 1,23 Coghlan St,Broome,WA,6725,(08) 9193 5955,(08) 9192 6010,,PO Box 3490,Broome,WA,6725,
Senator the Hon,10847.jpg,Duniam,Jonathon,Jonathon,senator.duniam@aph.gov.au,,,,TAS,85 Macquarie Street,,Hobart,TAS,7000,(03) 6231 2444,,,GPO Box 453,Hobart,TAS,7001,Assistant Minister for Forestry and Fisheries Assistant Minister for Regional Tourism
Senator the Hon,10708.jpg,Farrell,Donald,Don,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=I0N,SA,Level 5,19 Gilles Street,Adelaide,SA,5000,(08) 8231 8400,,,PO Box 6338,Halifax Street,SA,5000,
Senator,10912.jpg,Faruqi,Mehreen,Mehreen,senator.faruqi@aph.gov.au,,,,NSW,72 Campbell Street,,Surry Hills,NSW,2010,(02) 9211 1500,,,72 Campbell Street,Surry Hills,NSW,2010,
Senator the Hon,10215.jpg,Fawcett,David,David,senator.fawcett@aph.gov.au,,,,SA,"Commonwealth Parliament Offices, Suite 4, Level 13",100 King William Street,Adelaide,SA,5000,(08) 8205 1040,(08) 8205 1045,,"Commonwealth Parliament Offices, Suite 4, Level 13, 100 King William Street",Adelaide,SA,5000,
Senator the Hon,10222.jpg,Fierravanti-Wells,Concetta,Concetta,,,,/Senators_and_Members/Contact_Senator_or_Member?MPID=e4t,NSW,"Suite 1, Level 2,","6-8 Regent Street,",Wollongong,NSW,2500,(02) 4226 1700,(02) 4226 1733,1300 073 268,PO Box 886,Wollongong,NSW,2520,
Senator,10757.jpg,Gallacher,Alexander,Alex,senator.gallacher@aph.gov.au,,,,SA,265 Churchill Road,,Prospect,SA,5082,(08) 8269 6022,,,265 Churchill Road,Prospect,SA,5082,
Senator,10838.jpg,Gallagher,Katherine,Katy,senator.katy.gallagher@aph.gov.au,,,,ACT,The Senate,PO Box 6100,Canberra,ACT,2600,(02) 6277 3456,(02) 6230 0413,,"The Senate, PO Box 6100",Canberra,ACT,2600,Manager of Opposition Business in the Senate
Senator,10950.jpg,Green,Nita,Nita,senator.green@aph.gov.au,,,,QLD,141 - 143 Abbott Street,,Cairns,QLD,4870,(07) 4031 3498,,,PO Box 4716,Cairns Post Shop,QLD,4870,
Senator,10851.jpg,Griff,Stirling,Stirling,senator.griff@aph.gov.au,,,,SA,"Level 3, 27 Leigh Street",,Adelaide,SA,5000,(08) 8212 1409,(08) 8231 2053,,PO Box 8117,Adelaide,SA,5000,
Senator,10280.jpg,Hanson,Pauline,Pauline,,,,,QLD,"Suites 5 and 6, Level 36, Waterfront Place",1 Eagle Street,Brisbane,QLD,4000,(07) 3221 7644,(07) 3221 8422,,GPO Box 228,Brisbane,QLD,4001,
Senator,10711.jpg,Hanson-Young,Sarah,Sarah,senator.hanson-young@aph.gov.au,,,,SA,"Level 7, 147  Pirie Street",,Adelaide,SA,5000,(08) 8227 0425,(08) 8227 0426,,"Level 7, 147 Pirie Street",Adelaide,SA,5000,
